BottomRight,TopRight,TopLeft,BottomLeft
"(51.241025375, 0.6143996249999999)","(51.241025375, 1.757858)","(49.919716, 1.757858)","(49.919716, 0.6143996249999999)"
"(52.56233475, 0.6143996249999999)","(52.56233475, 1.757858)","(51.241025375, 1.757858)","(51.241025375, 0.6143996249999999)"
"(53.883644125, 0.6143996249999999)","(53.883644125, 1.757858)","(52.56233475, 1.757858)","(52.56233475, 0.6143996249999999)"
"(55.204953499999995, 0.6143996249999999)","(55.204953499999995, 1.757858)","(53.883644125, 1.757858)","(53.883644125, 0.6143996249999999)"
"(56.52626287499999, 0.6143996249999999)","(56.52626287499999, 1.757858)","(55.204953499999995, 1.757858)","(55.204953499999995, 0.6143996249999999)"
"(57.84757224999999, 0.6143996249999999)","(57.84757224999999, 1.757858)","(56.52626287499999, 1.757858)","(56.52626287499999, 0.6143996249999999)"
"(59.16888162499999, 0.6143996249999999)","(59.16888162499999, 1.757858)","(57.84757224999999, 1.757858)","(57.84757224999999, 0.6143996249999999)"
"(60.49019099999999, 0.6143996249999999)","(60.49019099999999, 1.757858)","(59.16888162499999, 1.757858)","(59.16888162499999, 0.6143996249999999)"
"(51.241025375, -0.5290587500000001)","(51.241025375, 0.6143996249999999)","(49.919716, 0.6143996249999999)","(49.919716, -0.5290587500000001)"
"(52.56233475, -0.5290587500000001)","(52.56233475, 0.6143996249999999)","(51.241025375, 0.6143996249999999)","(51.241025375, -0.5290587500000001)"
"(53.883644125, -0.5290587500000001)","(53.883644125, 0.6143996249999999)","(52.56233475, 0.6143996249999999)","(52.56233475, -0.5290587500000001)"
"(55.204953499999995, -0.5290587500000001)","(55.204953499999995, 0.6143996249999999)","(53.883644125, 0.6143996249999999)","(53.883644125, -0.5290587500000001)"
"(56.52626287499999, -0.5290587500000001)","(56.52626287499999, 0.6143996249999999)","(55.204953499999995, 0.6143996249999999)","(55.204953499999995, -0.5290587500000001)"
"(57.84757224999999, -0.5290587500000001)","(57.84757224999999, 0.6143996249999999)","(56.52626287499999, 0.6143996249999999)","(56.52626287499999, -0.5290587500000001)"
"(59.16888162499999, -0.5290587500000001)","(59.16888162499999, 0.6143996249999999)","(57.84757224999999, 0.6143996249999999)","(57.84757224999999, -0.5290587500000001)"
"(60.49019099999999, -0.5290587500000001)","(60.49019099999999, 0.6143996249999999)","(59.16888162499999, 0.6143996249999999)","(59.16888162499999, -0.5290587500000001)"
"(51.241025375, -1.6725171250000002)","(51.241025375, -0.5290587500000001)","(49.919716, -0.5290587500000001)","(49.919716, -1.6725171250000002)"
"(52.56233475, -1.6725171250000002)","(52.56233475, -0.5290587500000001)","(51.241025375, -0.5290587500000001)","(51.241025375, -1.6725171250000002)"
"(53.883644125, -1.6725171250000002)","(53.883644125, -0.5290587500000001)","(52.56233475, -0.5290587500000001)","(52.56233475, -1.6725171250000002)"
"(55.204953499999995, -1.6725171250000002)","(55.204953499999995, -0.5290587500000001)","(53.883644125, -0.5290587500000001)","(53.883644125, -1.6725171250000002)"
"(56.52626287499999, -1.6725171250000002)","(56.52626287499999, -0.5290587500000001)","(55.204953499999995, -0.5290587500000001)","(55.204953499999995, -1.6725171250000002)"
"(57.84757224999999, -1.6725171250000002)","(57.84757224999999, -0.5290587500000001)","(56.52626287499999, -0.5290587500000001)","(56.52626287499999, -1.6725171250000002)"
"(59.16888162499999, -1.6725171250000002)","(59.16888162499999, -0.5290587500000001)","(57.84757224999999, -0.5290587500000001)","(57.84757224999999, -1.6725171250000002)"
"(60.49019099999999, -1.6725171250000002)","(60.49019099999999, -0.5290587500000001)","(59.16888162499999, -0.5290587500000001)","(59.16888162499999, -1.6725171250000002)"
"(51.241025375, -2.8159755000000004)","(51.241025375, -1.6725171250000002)","(49.919716, -1.6725171250000002)","(49.919716, -2.8159755000000004)"
"(52.56233475, -2.8159755000000004)","(52.56233475, -1.6725171250000002)","(51.241025375, -1.6725171250000002)","(51.241025375, -2.8159755000000004)"
"(53.883644125, -2.8159755000000004)","(53.883644125, -1.6725171250000002)","(52.56233475, -1.6725171250000002)","(52.56233475, -2.8159755000000004)"
"(55.204953499999995, -2.8159755000000004)","(55.204953499999995, -1.6725171250000002)","(53.883644125, -1.6725171250000002)","(53.883644125, -2.8159755000000004)"
"(56.52626287499999, -2.8159755000000004)","(56.52626287499999, -1.6725171250000002)","(55.204953499999995, -1.6725171250000002)","(55.204953499999995, -2.8159755000000004)"
"(57.84757224999999, -2.8159755000000004)","(57.84757224999999, -1.6725171250000002)","(56.52626287499999, -1.6725171250000002)","(56.52626287499999, -2.8159755000000004)"
"(59.16888162499999, -2.8159755000000004)","(59.16888162499999, -1.6725171250000002)","(57.84757224999999, -1.6725171250000002)","(57.84757224999999, -2.8159755000000004)"
"(60.49019099999999, -2.8159755000000004)","(60.49019099999999, -1.6725171250000002)","(59.16888162499999, -1.6725171250000002)","(59.16888162499999, -2.8159755000000004)"
"(51.241025375, -3.959433875)","(51.241025375, -2.8159755000000004)","(49.919716, -2.8159755000000004)","(49.919716, -3.959433875)"
"(52.56233475, -3.959433875)","(52.56233475, -2.8159755000000004)","(51.241025375, -2.8159755000000004)","(51.241025375, -3.959433875)"
"(53.883644125, -3.959433875)","(53.883644125, -2.8159755000000004)","(52.56233475, -2.8159755000000004)","(52.56233475, -3.959433875)"
"(55.204953499999995, -3.959433875)","(55.204953499999995, -2.8159755000000004)","(53.883644125, -2.8159755000000004)","(53.883644125, -3.959433875)"
"(56.52626287499999, -3.959433875)","(56.52626287499999, -2.8159755000000004)","(55.204953499999995, -2.8159755000000004)","(55.204953499999995, -3.959433875)"
"(57.84757224999999, -3.959433875)","(57.84757224999999, -2.8159755000000004)","(56.52626287499999, -2.8159755000000004)","(56.52626287499999, -3.959433875)"
"(59.16888162499999, -3.959433875)","(59.16888162499999, -2.8159755000000004)","(57.84757224999999, -2.8159755000000004)","(57.84757224999999, -3.959433875)"
"(60.49019099999999, -3.959433875)","(60.49019099999999, -2.8159755000000004)","(59.16888162499999, -2.8159755000000004)","(59.16888162499999, -3.959433875)"
"(51.241025375, -5.10289225)","(51.241025375, -3.959433875)","(49.919716, -3.959433875)","(49.919716, -5.10289225)"
"(52.56233475, -5.10289225)","(52.56233475, -3.959433875)","(51.241025375, -3.959433875)","(51.241025375, -5.10289225)"
"(53.883644125, -5.10289225)","(53.883644125, -3.959433875)","(52.56233475, -3.959433875)","(52.56233475, -5.10289225)"
"(55.204953499999995, -5.10289225)","(55.204953499999995, -3.959433875)","(53.883644125, -3.959433875)","(53.883644125, -5.10289225)"
"(56.52626287499999, -5.10289225)","(56.52626287499999, -3.959433875)","(55.204953499999995, -3.959433875)","(55.204953499999995, -5.10289225)"
"(57.84757224999999, -5.10289225)","(57.84757224999999, -3.959433875)","(56.52626287499999, -3.959433875)","(56.52626287499999, -5.10289225)"
"(59.16888162499999, -5.10289225)","(59.16888162499999, -3.959433875)","(57.84757224999999, -3.959433875)","(57.84757224999999, -5.10289225)"
"(60.49019099999999, -5.10289225)","(60.49019099999999, -3.959433875)","(59.16888162499999, -3.959433875)","(59.16888162499999, -5.10289225)"
"(51.241025375, -6.246350625)","(51.241025375, -5.10289225)","(49.919716, -5.10289225)","(49.919716, -6.246350625)"
"(52.56233475, -6.246350625)","(52.56233475, -5.10289225)","(51.241025375, -5.10289225)","(51.241025375, -6.246350625)"
"(53.883644125, -6.246350625)","(53.883644125, -5.10289225)","(52.56233475, -5.10289225)","(52.56233475, -6.246350625)"
"(55.204953499999995, -6.246350625)","(55.204953499999995, -5.10289225)","(53.883644125, -5.10289225)","(53.883644125, -6.246350625)"
"(56.52626287499999, -6.246350625)","(56.52626287499999, -5.10289225)","(55.204953499999995, -5.10289225)","(55.204953499999995, -6.246350625)"
"(57.84757224999999, -6.246350625)","(57.84757224999999, -5.10289225)","(56.52626287499999, -5.10289225)","(56.52626287499999, -6.246350625)"
"(59.16888162499999, -6.246350625)","(59.16888162499999, -5.10289225)","(57.84757224999999, -5.10289225)","(57.84757224999999, -6.246350625)"
"(60.49019099999999, -6.246350625)","(60.49019099999999, -5.10289225)","(59.16888162499999, -5.10289225)","(59.16888162499999, -6.246350625)"
"(51.241025375, -7.389809)","(51.241025375, -6.246350625)","(49.919716, -6.246350625)","(49.919716, -7.389809)"
"(52.56233475, -7.389809)","(52.56233475, -6.246350625)","(51.241025375, -6.246350625)","(51.241025375, -7.389809)"
"(53.883644125, -7.389809)","(53.883644125, -6.246350625)","(52.56233475, -6.246350625)","(52.56233475, -7.389809)"
"(55.204953499999995, -7.389809)","(55.204953499999995, -6.246350625)","(53.883644125, -6.246350625)","(53.883644125, -7.389809)"
"(56.52626287499999, -7.389809)","(56.52626287499999, -6.246350625)","(55.204953499999995, -6.246350625)","(55.204953499999995, -7.389809)"
"(57.84757224999999, -7.389809)","(57.84757224999999, -6.246350625)","(56.52626287499999, -6.246350625)","(56.52626287499999, -7.389809)"
"(59.16888162499999, -7.389809)","(59.16888162499999, -6.246350625)","(57.84757224999999, -6.246350625)","(57.84757224999999, -7.389809)"
"(60.49019099999999, -7.389809)","(60.49019099999999, -6.246350625)","(59.16888162499999, -6.246350625)","(59.16888162499999, -7.389809)"
